,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
142,James Head,210.0,Papy Abedi,-270.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
143,Jason Young,150.0,Eric Wisely,-180.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
144,John Maguire,-140.0,Damarques Johnson,120.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
145,Magnus Cedenblad,180.0,Francis Carmont,-240.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
146,Papy Abedi,-270.0,James Head,210.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
147,Paulo Thiago,-390.0,Siyar Bahadurzada,270.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
148,Reza Madadi,-225.0,Yoislandy Izquierdo,175.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
149,Simeon Thoresen,-290.0,Besam Yousef,230.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
150,Siyar Bahadurzada,270.0,Paulo Thiago,-390.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
151,Thiago Silva,160.0,Alexander Gustafsson,-210.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
152,Yoislandy Izquierdo,175.0,Reza Madadi,-225.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
153,Adam Wieczorek,110.0,Arjan Bhullar,-150.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
154,Alejandro Perez,-150.0,Matthew Lopez,110.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
155,Alex Oliveira,-160.0,Carlos Condit,120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
156,Antonio Carlos Junior,-260.0,Tim Boetsch,220.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
157,Arjan Bhullar,-150.0,Adam Wieczorek,110.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
158,Brad Tavares,-190.0,Krzysztof Jotko,165.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
159,Carlos Condit,120.0,Alex Oliveira,-160.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
160,Cortney Casey,-120.0,Michelle Waterson,-120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
161,Dan Moret,325.0,Gilbert Burns,-475.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
162,Dhiego Lima,-120.0,Yushin Okami,-120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
163,Dustin Poirier,-130.0,Justin Gaethje,-110.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
164,Gilbert Burns,-475.0,Dan Moret,325.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
165,Israel Adesanya,-260.0,Marvin Vettori,180.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
166,John Moraga,145.0,Wilson Reis,-170.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
167,Krzysztof Jotko,165.0,Brad Tavares,-190.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
168,Lauren Mueller,-190.0,Shana Dobson,150.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
169,Luke Sanders,-310.0,Patrick Williams,230.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
170,Marvin Vettori,180.0,Israel Adesanya,-260.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
171,Matthew Lopez,110.0,Alejandro Perez,-150.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
172,Muslim Salikhov,-260.0,Ricky Rainey,180.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
173,Patrick Williams,230.0,Luke Sanders,-310.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
174,Ricky Rainey,180.0,Muslim Salikhov,-260.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
175,Shana Dobson,150.0,Lauren Mueller,-190.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
176,Tim Boetsch,220.0,Antonio Carlos Junior,-260.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
177,Wilson Reis,-170.0,John Moraga,145.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
178,Yushin Okami,-120.0,Dhiego Lima,-120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
179,Aleksandar Rakic,-170.0,Jiri Prochazka,142.0,UFC 300,Apr 14th 2024
180,Alex Pereira,-163.0,Jamahal Hill,130.0,UFC 300,Apr 14th 2024
181,Aljamain Sterling,-142.0,Calvin Kattar,120.0,UFC 300,Apr 14th 2024
182,Arman Tsarukyan,100.0,Charles Oliveira,-120.0,UFC 300,Apr 14th 2024
183,Bo Nickal,-1100.0,Cody Brundage,700.0,UFC 300,Apr 14th 2024
184,Calvin Kattar,120.0,Aljamain Sterling,-142.0,UFC 300,Apr 14th 2024
185,Charles Oliveira,-120.0,Arman Tsarukyan,100.0,UFC 300,Apr 14th 2024
186,Cody Brundage,700.0,Bo Nickal,-1100.0,UFC 300,Apr 14th 2024
187,Diego Lopes,-180.0,Sodiq Yusuff,140.0,UFC 300,Apr 14th 2024
188,Holly Holm,250.0,Kayla Harrison,-310.0,UFC 300,Apr 14th 2024
189,Jamahal Hill,130.0,Alex Pereira,-163.0,UFC 300,Apr 14th 2024
190,Jiri Prochazka,142.0,Aleksandar Rakic,-170.0,UFC 300,Apr 14th 2024
191,Max Holloway,225.0,Justin Gaethje,-278.0,UFC 300,Apr 14th 2024
192,Sodiq Yusuff,140.0,Diego Lopes,-180.0,UFC 300,Apr 14th 2024
193,Yan Xiaonan,260.0,Zhang Weili,-325.0,UFC 300,Apr 14th 2024
194,Alexander Volkov,-140.0,Roy Nelson,100.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
195,Aljamain Sterling,-215.0,Augusto Mendes,165.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
196,Andrew Sanchez,-210.0,Anthony Smith,160.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
197,Augusto Mendes,165.0,Aljamain Sterling,-215.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
198,Demetrious Johnson,-1050.0,Wilson Reis,550.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
199,Devin Clark,-150.0,Jake Collier,110.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
200,Jeremy Stephens,-165.0,Renato Moicano,125.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
201,Ketlen Vieira,130.0,Ashlee Evans-Smith,-170.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
202,Louis Smolka,170.0,Tim Elliott,-230.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
203,Nathan Coy,200.0,Zak Cummings,-280.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
204,Patrick Williams,265.0,Tom Duquesnoy,-385.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
205,Rashid Magomedov,-260.0,Bobby Green,180.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
206,Renato Moicano,125.0,Jeremy Stephens,-165.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
207,Renato Moicano,125.0,Jeremy Stephens,-165.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
208,Robert Whittaker,150.0,Ronaldo Souza,-190.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
209,Rose Namajunas,-135.0,Michelle Waterson,-105.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
210,Roy Nelson,100.0,Alexander Volkov,-140.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
211,Tim Elliott,-230.0,Louis Smolka,170.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
212,Tom Duquesnoy,-385.0,Patrick Williams,265.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
213,Wilson Reis,550.0,Demetrious Johnson,-1050.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
214,Zak Cummings,-280.0,Nathan Coy,200.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
215,Aaron Phillips,140.0,Gaston Bolanos,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
216,Arnold Allen,125.0,Max Holloway,-145.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
217,Azamat Murzakanov,170.0,Dustin Jacoby,-200.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
218,Bill Algeo,-139.0,Tj Brown,119.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
219,Billy Quarantillo,-155.0,Edson Barboza,135.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
220,Brandon Royval,125.0,Matheus Nicolau,-145.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
221,Bruna Brasil,-160.0,Denise Gomes,140.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
222,Chris Gutierrez,-235.0,Pedro Munhoz,200.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
223,Clay Guida,140.0,Rafa Garcia,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
224,Daniel Zellhuber,-175.0,Lando Vannata,150.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
225,Denise Gomes,140.0,Bruna Brasil,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
226,Dustin Jacoby,-200.0,Azamat Murzakanov,170.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
