,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
348,Luke Rockhold,-140.0,Lyoto Machida,100.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
350,Patrick Cummins,-140.0,Ovince St. Preux,100.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
353,Alan Belcher,-410.0,Jason Day,315.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
354,Brad Morris,190.0,Cain Velasquez,-250.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
355,Demian Maia,-195.0,Ed Herman,160.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
357,Joe Doerksen,135.0,Jason Macdonald,-165.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
358,Jonathan Goulet,180.0,Kuniyoshi Hironaka,-240.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
359,Kalib Starnes,400.0,Nate Quarry,-550.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
361,Mark Bocek,470.0,Mac Danzig,-725.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
362,Michael Bisping,-330.0,Charles McCarthy,253.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
364,Rich Clementi,130.0,Sam Stout,-160.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
365,Brad Tavares,100.0,Yoel Romero,-140.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
366,Caio Magalhaes,-280.0,Luke Zachrich,200.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
367,Chas Skelly,-175.0,Mirsad Bektic,135.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
368,Derrick Lewis,-315.0,Jack May,235.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
369,Donald Cerrone,-140.0,Edson Barboza,100.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
370,Dustin Ortiz,-215.0,Ray Borg,165.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
372,Estevan Payan,-165.0,Alex White,125.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
373,Fabricio Werdum,160.0,Travis Browne,-210.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
374,Hernani Perpetuo,265.0,Jordan Mein,-385.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
377,Jorge Masvidal,-190.0,Pat Healy,150.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
378,Khabib Nurmagomedov,-175.0,Rafael Dos Anjos,135.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
