First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0,,3.79,52%,1.61,66%,N/A,5.96,75%,87%,0.0
Sandra,Lavado,Peruvian Zombie,"5' 7""",115 lbs.,"66.0""",Orthodox,10,3,0,,0.87,37%,2.67,34%,N/A,0.00,0%,33%,0.0
Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0,,2.84,39%,5.39,54%,N/A,2.39,45%,54%,2.0
Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0,,1.44,42%,3.53,53%,N/A,0.55,66%,51%,0.8
Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Ryan,Larson,,--,170 lbs.,--,,6,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0,,3.10,63%,0.76,63%,N/A,11.47,70%,0%,0.0
Jorge,Ortiz,The Naked Man,"6' 0""",185 lbs.,--,Orthodox,18,9,1,,3.53,58%,2.80,73%,N/A,0.00,0%,0%,0.0
Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,17,9,0,,2.05,45%,2.93,56%,N/A,2.11,35%,100%,0.3
Brian,Ortega,T-City,"5' 8""",145 lbs.,"69.0""",Switch,16,3,0,,4.07,38%,6.54,49%,N/A,1.17,27%,57%,1.2
Sam,Oropeza,,"6' 2""",170 lbs.,--,,13,3,0,,7.68,56%,1.44,70%,N/A,3.60,33%,100%,0.0
Tito,Ortiz,The People's Champ,"6' 3""",205 lbs.,"74.0""",Orthodox,19,12,1,,2.59,46%,2.88,60%,N/A,2.47,35%,54%,0.6
Myktybek,Orolbai,,"5' 10""",155 lbs.,"74.0""",Orthodox,13,1,1,,3.02,52%,2.56,47%,N/A,7.44,44%,50%,0.6
Chibwikem,Onyenegecha,,"6' 3""",185 lbs.,--,Orthodox,5,0,0,,5.60,55%,3.40,52%,N/A,0.00,0%,100%,0.0
Charlie,Ontiveros,American Bad Boy,"6' 2""",155 lbs.,"74.0""",Switch,11,9,0,,1.89,41%,5.86,31%,N/A,0.00,0%,30%,0.0
Khabib,Nurmagomedov,The Eagle,"5' 10""",155 lbs.,"70.0""",Orthodox,29,0,0,,4.10,48%,1.75,65%,N/A,5.32,48%,84%,0.8
David,Onama,,"5' 11""",145 lbs.,"74.0""",Orthodox,12,2,0,,5.04,48%,5.10,52%,N/A,0.67,17%,52%,0.5
Michihiro,Omigawa,,"5' 6""",145 lbs.,"68.0""",Orthodox,17,14,1,,2.01,39%,3.06,64%,N/A,1.19,36%,49%,1.5
Diyar,Nurgozhay,,--,205 lbs.,--,,9,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Josiane,Nunes,Josi,"5' 2""",135 lbs.,"67.0""",Southpaw,10,2,0,,5.99,44%,5.25,53%,N/A,0.00,0%,58%,0.0
Daniel,Omielanczuk,,"6' 0""",247 lbs.,"74.0""",Southpaw,19,8,1,,3.09,57%,3.29,47%,N/A,0.56,26%,68%,0.1
Nina,Nunes,,"5' 5""",125 lbs.,"64.0""",Orthodox,11,7,0,,4.39,45%,3.47,55%,N/A,0.24,33%,73%,0.5
Istela,Nunes,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,5,0,,5.02,45%,4.84,60%,N/A,0.00,0%,50%,0.0
Shayilan,Nuerdanbieke,Wolverine,"5' 8""",145 lbs.,"69.0""",Orthodox,39,12,0,,1.95,45%,2.64,50%,N/A,3.30,35%,28%,0.2
Taiyilake,Nueraji,Super Saiyan,"6' 2""",170 lbs.,"75.0""",Southpaw,9,1,0,,11.01,48%,7.39,58%,N/A,0.00,0%,0%,0.0
Amanda,Nunes,The Lioness,"5' 8""",135 lbs.,"69.0""",Orthodox,23,5,0,,4.55,51%,2.62,57%,N/A,2.73,54%,82%,0.7
Diego,Nunes,The Gun,"5' 6""",145 lbs.,"67.0""",Orthodox,19,7,0,,2.72,43%,2.59,58%,N/A,1.18,44%,65%,0.6
