Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Charlie Campbell,Trevor Peek,0,54,4,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Alex Morono,Court McGee,0,38,0,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Lukasz Brzeski,Valter Walker,0,58,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Victor Henry,Rani Yahya,2,109,0,0,Bantamweight,KO/TKO,3,2:36
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Austin Hubbard,Michal Figlak,0,88,3,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Don'Tale Mayes,Caio Machado,1,67,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Ketlen Souza,Marnic Mann,0,80,1,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Chris Padilla,James Llontop,0,12,3,1,Lightweight,SUB,1,4:33
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Ivana Petrovic,Liang Na,0,36,3,1,Women's Flyweight,SUB,3,1:29
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Maheshate,Gabriel Benitez,0,97,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Norma Dumont,Germaine de Randamie,0,11,6,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Victor Hugo,Pedro Falcao,1,68,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Jean Matsumoto,Dan Argueta,0,19,2,1,Bantamweight,SUB,2,4:59
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Cesar Almeida,Dylan Budka,0,29,0,0,Middleweight,KO/TKO,2,2:13
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Nora Cornolle,Melissa Mullins,1,36,0,0,Women's Bantamweight,KO/TKO,2,3:06
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Derrick Lewis,Rodrigo Nascimento,1,41,1,0,Heavyweight,KO/TKO,3,0:49
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Joaquin Buckley,Nursulton Ruziboev,1,86,4,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Carlos Ulberg,Alonzo Menifield,1,7,0,0,Light Heavyweight,KO/TKO,1,0:12
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Diego Ferreira,Mateusz Rebecki,0,123,3,0,Lightweight,KO/TKO,3,4:51
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Sean Woodson,Alex Caceres,0,101,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Waldo Cortes-Acosta,Robelis Despaigne,0,52,3,1,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Manon Fiorot,Erin Blanchfield,0,172,1,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Joaquin Buckley,Vicente Luque,0,55,0,0,Welterweight,KO/TKO,2,3:17
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Chris Weidman,Bruno Silva,1,75,1,0,Middleweight,U-DEC,3,2:18
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Nursulton Ruziboev,Sedriques Dumas,1,12,0,0,Middleweight,KO/TKO,1,3:18
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Kyle Nelson,Bill Algeo,0,32,0,0,Featherweight,KO/TKO,1,4:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Chidi Njokuani,Rhys McKee,0,64,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Nate Landwehr,Jamall Emmers,1,37,0,0,Featherweight,KO/TKO,1,4:43
