Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Daniel Pineda,Tucker Lutz,1,0,24,28,1 of 2,0 of 4,2,0,Featherweight,SUB,2,2:50
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Holly Holm,Yana Santos,0,0,32,21,4 of 6,0 of 0,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Lucas Alexander,Steven Peterson,1,0,85,26,0 of 4,0 of 0,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Josh Fremd,Sedriques Dumas,0,0,33,20,0 of 1,2 of 2,2,0,Middleweight,SUB,2,3:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Bruno Silva,Tyson Nam,1,0,23,12,0 of 0,0 of 1,1,0,Flyweight,SUB,2,1:23
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Karl Williams,Lukasz Brzeski,1,0,38,26,8 of 13,0 of 1,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Mario Bautista,Guido Cannetti,0,0,3,2,3 of 4,1 of 1,1,0,Bantamweight,SUB,1,3:18
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Victor Henry,Tony Gravely,0,0,154,75,0 of 0,3 of 17,2,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Ariane da Silva,JJ Aldrich,0,0,101,49,2 of 2,0 of 12,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Jonathan Martinez,Said Nurmagomedov,0,0,38,47,3 of 9,0 of 1,1,2,Bantamweight,U-DEC,3,5:00
