First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,,3.33,25%,10.00,57%,N/A,0.00,0%,0%,0.0
Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,,1.42,33%,2.27,59%,N/A,1.69,27%,27%,1.3
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,,2.28,47%,2.13,59%,N/A,0.74,37%,75%,0.0
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,,0.87,41%,3.14,49%,N/A,1.00,33%,0%,0.0
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,,1.17,12%,4.31,41%,N/A,0.80,50%,0%,0.0
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,14,3,0,,7.72,66%,2.77,66%,N/A,3.46,100%,100%,1.7
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,13,1,0,,6.83,45%,4.53,64%,N/A,0.00,0%,100%,0.0
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,,2.48,51%,2.97,55%,N/A,2.36,33%,70%,0.5
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,,3.22,42%,2.50,66%,N/A,1.65,39%,78%,0.2
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,,3.03,46%,3.52,52%,N/A,0.44,18%,65%,0.7
Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0,,2.00,26%,4.13,56%,N/A,0.00,0%,66%,0.0
Michael,Aswell Jr.,Texas Kid,--,145 lbs.,--,,9,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,,3.31,62%,2.06,44%,N/A,2.43,24%,66%,0.7
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,,1.27,43%,3.20,36%,N/A,2.00,50%,66%,1.0
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,,3.35,39%,5.82,35%,N/A,4.41,62%,100%,0.9
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,1,0,,3.08,42%,5.35,59%,N/A,0.92,50%,50%,0.0
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,,7.27,61%,6.80,28%,N/A,0.00,0%,100%,0.0
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,,3.64,49%,5.66,36%,N/A,4.33,55%,0%,0.9
,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,,5.37,45%,5.20,56%,N/A,7.32,75%,0%,2.4
Kai,Asakura,,--,135 lbs.,--,,21,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,,3.05,54%,2.80,57%,N/A,2.60,24%,66%,0.4
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,,3.20,36%,1.92,65%,N/A,0.00,0%,40%,0.0
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,2.82,66%,2.02,50%,N/A,1.14,41%,41%,0.2
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,,0.06,10%,2.45,32%,N/A,0.00,0%,0%,0.0
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,,1.62,47%,2.01,58%,N/A,2.12,36%,100%,5.3
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0,,8.92,68%,6.49,38%,N/A,12.16,100%,0%,0.0
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,,1.56,34%,1.63,56%,N/A,3.05,75%,37%,1.0
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,,4.52,41%,6.38,62%,N/A,0.44,18%,57%,0.2
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,,1.66,48%,1.15,57%,N/A,2.41,48%,58%,1.2
Joey,Armstrong,,--,--,--,,5,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,,2.32,45%,4.01,56%,N/A,1.07,100%,33%,0.4
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,4,0,,5.59,55%,3.30,57%,N/A,0.00,0%,60%,0.4
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,,1.84,44%,8.97,43%,N/A,0.00,0%,50%,0.0
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,2,0,,2.18,45%,1.90,51%,N/A,4.45,48%,57%,1.6
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Alice,Ardelean,,--,115 lbs.,--,,9,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
