Event,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Manuwa vs. Anderson,,,,,,,,,,,
UFC Fight Night: Manuwa vs. Anderson,,Jimi Manuwa,Corey Anderson,1,6,0,0,Light Heavyweight,KO/TKO,1,3:05
UFC Fight Night: Manuwa vs. Anderson,,Gunnar Nelson,Alan Jouban,0,8,1,1,Welterweight,SUB,2,0:46
UFC Fight Night: Manuwa vs. Anderson,,Marlon Vera,Brad Pickett,1,67,0,0,Catch Weight,KO/TKO,3,3:50
UFC Fight Night: Manuwa vs. Anderson,,Arnold Allen,Makwan Amirkhani,0,32,3,1,Featherweight,S-DEC,3,5:00
UFC Fight Night: Manuwa vs. Anderson,,Joe Duffy,Reza Madadi,0,51,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Manuwa vs. Anderson,,Francimar Barroso,Darren Stewart,0,28,7,0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Manuwa vs. Anderson,,Timothy Johnson,Daniel Omielanczuk,0,52,1,0,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Manuwa vs. Anderson,,Leon Edwards,Vicente Luque,0,53,3,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Manuwa vs. Anderson,,Marc Diakiese,Teemu Packalen,1,6,0,0,Lightweight,KO/TKO,1,0:30
UFC Fight Night: Manuwa vs. Anderson,,Brad Scott,Scott Askham,1,72,0,0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Manuwa vs. Anderson,,Lina Lansberg,Lucie Pudilova,0,80,1,0,Women's Bantamweight,U-DEC,3,5:00
UFC 210: Cormier vs. Johnson 2,,,,,,,,,,,
UFC 210: Cormier vs. Johnson 2,,Daniel Cormier,Anthony Johnson,0,36,1,1,Light Heavyweight,SUB,2,3:37
UFC 210: Cormier vs. Johnson 2,,Gegard Mousasi,Chris Weidman,0,49,0,0,Middleweight,KO/TKO,2,3:13
UFC 210: Cormier vs. Johnson 2,,Cynthia Calvillo,Pearl Gonzalez,0,50,1,3,Women's Strawweight,SUB,3,3:45
UFC 210: Cormier vs. Johnson 2,,Thiago Alves,Patrick Cote,2,79,1,0,Welterweight,U-DEC,3,5:00
UFC 210: Cormier vs. Johnson 2,,Charles Oliveira,Will Brooks,0,3,2,1,Lightweight,SUB,1,2:30
UFC 210: Cormier vs. Johnson 2,,Myles Jury,Mike de la Torre,0,36,1,0,Featherweight,KO/TKO,1,3:30
UFC 210: Cormier vs. Johnson 2,,Kamaru Usman,Sean Strickland,1,90,2,0,Welterweight,U-DEC,3,5:00
UFC 210: Cormier vs. Johnson 2,,Shane Burgos,Charles Rosa,1,77,0,0,Featherweight,KO/TKO,3,1:59
UFC 210: Cormier vs. Johnson 2,,Patrick Cummins,Jan Blachowicz,0,73,3,0,Light Heavyweight,U-DEC,3,5:00
UFC 210: Cormier vs. Johnson 2,,Gregor Gillespie,Andrew Holbrook,1,8,0,0,Lightweight,KO/TKO,1,0:21
UFC 210: Cormier vs. Johnson 2,,Desmond Green,Josh Emmett,0,57,1,0,Lightweight,S-DEC,3,5:00
UFC 210: Cormier vs. Johnson 2,,Katlyn Cerminara,Irene Aldana,0,105,0,0,Women's Bantamweight,S-DEC,3,5:00
UFC 210: Cormier vs. Johnson 2,,Bibulatov Magomed,Jenel Lausa,0,51,2,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs. Gastelum,,,,,,,,,,,
UFC Fight Night: Belfort vs. Gastelum,,Vitor Belfort,Kelvin Gastelum,0,10,0,0,Middleweight,Overturned,1,3:52
UFC Fight Night: Belfort vs. Gastelum,,Mauricio Rua,Gian Villante,2,94,2,0,Light Heavyweight,KO/TKO,3,0:59
UFC Fight Night: Belfort vs. Gastelum,,Edson Barboza,Beneil Dariush,1,30,0,0,Lightweight,KO/TKO,2,3:35
UFC Fight Night: Belfort vs. Gastelum,,Ray Borg,Jussier Formiga,0,36,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs. Gastelum,,Bethe Correia,Marion Reneau,0,43,2,0,Women's Bantamweight,M-DEC,3,5:00
UFC Fight Night: Belfort vs. Gastelum,,Alex Oliveira,Tim Means,0,12,6,1,Welterweight,SUB,2,2:38
UFC Fight Night: Belfort vs. Gastelum,,Kevin Lee,Francisco Trinaldo,0,15,1,1,Lightweight,SUB,2,3:12
UFC Fight Night: Belfort vs. Gastelum,,Sergio Moraes,Davi Ramos,0,39,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs. Gastelum,,Joe Soto,Rani Yahya,0,54,1,2,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs. Gastelum,,Michel Prazeres,Joshua Burkman,0,24,2,1,Lightweight,SUB,1,1:42
UFC Fight Night: Belfort vs. Gastelum,,Jeremy Kennedy,Rony Jason,0,46,8,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs. Gastelum,,Paulo Costa,Garreth McLellan,1,22,0,0,Middleweight,KO/TKO,1,1:17
UFC Fight Night: Swanson vs. Lobov,,,,,,,,,,,
UFC Fight Night: Swanson vs. Lobov,,Cub Swanson,Artem Lobov,0,209,2,0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Swanson vs. Lobov,,Al Iaquinta,Diego Sanchez,2,12,0,0,Lightweight,KO/TKO,1,1:38
UFC Fight Night: Swanson vs. Lobov,,Ovince Saint Preux,Marcos Rogerio de Lima,0,21,1,1,Light Heavyweight,SUB,2,2:11
UFC Fight Night: Swanson vs. Lobov,,John Dodson,Eddie Wineland,0,48,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Swanson vs. Lobov,,Stevie Ray,Joe Lauzon,0,109,0,1,Lightweight,M-DEC,3,5:00
UFC Fight Night: Swanson vs. Lobov,,Mike Perry,Jake Ellenberger,2,26,0,0,Welterweight,KO/TKO,2,1:05
UFC Fight Night: Swanson vs. Lobov,,Thales Leites,Sam Alvey,0,38,1,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Swanson vs. Lobov,,Brandon Moreno,Dustin Ortiz,1,24,0,2,Flyweight,SUB,2,4:06
UFC Fight Night: Swanson vs. Lobov,,Scott Holtzman,Michael McBride,1,104,2,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Swanson vs. Lobov,,Danielle Taylor,Jessica Penne,0,72,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Swanson vs. Lobov,,Alexis Davis,Cindy Dandois,0,51,0,2,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Swanson vs. Lobov,,Bryan Barberena,Joe Proctor,1,28,0,0,Welterweight,KO/TKO,1,3:30
UFC Fight Night: Swanson vs. Lobov,,Hector Sandoval,Matt Schnell,0,32,3,0,Flyweight,KO/TKO,1,4:24
UFC on FOX: Johnson vs. Reis,,,,,,,,,,,
UFC on FOX: Johnson vs. Reis,,Demetrious Johnson,Wilson Reis,0,108,1,1,Flyweight,SUB,3,4:49
UFC on FOX: Johnson vs. Reis,,Rose Namajunas,Michelle Waterson-Gomez,1,47,1,1,Women's Strawweight,SUB,2,2:47
UFC on FOX: Johnson vs. Reis,,Robert Whittaker,Jacare Souza,1,55,0,0,Middleweight,KO/TKO,2,3:28
UFC on FOX: Johnson vs. Reis,,Renato Moicano,Jeremy Stephens,0,70,2,0,Featherweight,S-DEC,3,5:00
UFC on FOX: Johnson vs. Reis,,Alexander Volkov,Roy Nelson,0,122,0,0,Heavyweight,U-DEC,3,5:00
UFC on FOX: Johnson vs. Reis,,Tom Duquesnoy,Patrick Williams,2,36,0,0,Bantamweight,KO/TKO,2,0:28
UFC on FOX: Johnson vs. Reis,,Rashid Magomedov,Bobby Green,0,75,0,0,Lightweight,S-DEC,3,5:00
UFC on FOX: Johnson vs. Reis,,Tim Elliott,Louis Smolka,0,57,12,1,Flyweight,U-DEC,3,5:00
UFC on FOX: Johnson vs. Reis,,Aljamain Sterling,Augusto Mendes,0,83,2,0,Bantamweight,U-DEC,3,5:00
UFC on FOX: Johnson vs. Reis,,Devin Clark,Jake Collier,0,68,4,0,Light Heavyweight,U-DEC,3,5:00
UFC on FOX: Johnson vs. Reis,,Anthony Smith,Andrew Sanchez,1,49,0,0,Middleweight,KO/TKO,3,3:52
UFC on FOX: Johnson vs. Reis,,Zak Cummings,Nathan Coy,0,25,0,2,Welterweight,SUB,1,4:21
UFC on FOX: Johnson vs. Reis,,Ketlen Vieira,Ashlee Evans-Smith,0,71,1,0,Women's Bantamweight,U-DEC,3,5:00
UFC 211: Miocic vs. Dos Santos,,,,,,,,,,,
UFC 211: Miocic vs. Dos Santos,,Stipe Miocic,Junior Dos Santos,1,26,0,0,Heavyweight,KO/TKO,1,2:22
UFC 211: Miocic vs. Dos Santos,,Joanna Jedrzejczyk,Jessica Andrade,0,225,0,0,Women's Strawweight,U-DEC,5,5:00
UFC 211: Miocic vs. Dos Santos,,Demian Maia,Jorge Masvidal,0,23,4,0,Welterweight,S-DEC,3,5:00
UFC 211: Miocic vs. Dos Santos,,Frankie Edgar,Yair Rodriguez,0,72,1,0,Featherweight,KO/TKO,2,5:00
UFC 211: Miocic vs. Dos Santos,,David Branch,Krzysztof Jotko,0,39,2,0,Middleweight,S-DEC,3,5:00
UFC 211: Miocic vs. Dos Santos,,Eddie Alvarez,Dustin Poirier,0,44,1,0,Lightweight,CNC,2,4:02
UFC 211: Miocic vs. Dos Santos,,Jason Knight,Chas Skelly,1,59,2,3,Featherweight,KO/TKO,3,0:39
UFC 211: Miocic vs. Dos Santos,,Chase Sherman,Rashad Coulter,1,103,0,0,Heavyweight,KO/TKO,2,3:36
UFC 211: Miocic vs. Dos Santos,,James Vick,Marco Polo Reyes,1,20,0,0,Lightweight,KO/TKO,1,2:39
UFC 211: Miocic vs. Dos Santos,,Cortney Casey,Jessica Aguilar,0,103,0,0,Women's Strawweight,U-DEC,3,5:00
UFC 211: Miocic vs. Dos Santos,,Enrique Barzola,Gabriel Benitez,0,46,9,1,Featherweight,U-DEC,3,5:00
UFC 211: Miocic vs. Dos Santos,,Gadzhimurad Antigulov,Joachim Christensen,0,2,1,1,Light Heavyweight,SUB,1,2:21
UFC 212: Aldo vs. Holloway,,,,,,,,,,,
UFC 212: Aldo vs. Holloway,,Max Holloway,Jose Aldo,1,104,0,0,Featherweight,KO/TKO,3,4:13
UFC 212: Aldo vs. Holloway,,Claudia Gadelha,Karolina Kowalkiewicz,0,8,1,1,Women's Strawweight,SUB,1,3:03
UFC 212: Aldo vs. Holloway,,Vitor Belfort,Nate Marquardt,0,37,0,0,Middleweight,U-DEC,3,5:00
UFC 212: Aldo vs. Holloway,,Paulo Costa,Oluwale Bamgbose,0,43,0,0,Middleweight,KO/TKO,2,1:06
UFC 212: Aldo vs. Holloway,,Yancy Medeiros,Erick Silva,1,33,0,0,Welterweight,KO/TKO,2,2:01
UFC 212: Aldo vs. Holloway,,Raphael Assuncao,Marlon Moraes,0,43,0,0,Bantamweight,S-DEC,3,5:00
UFC 212: Aldo vs. Holloway,,Antonio Carlos Junior,Eric Spicely,0,12,1,2,Middleweight,SUB,2,3:49
UFC 212: Aldo vs. Holloway,,Matthew Lopez,Johnny Eduardo,0,43,1,0,Bantamweight,KO/TKO,1,2:57
UFC 212: Aldo vs. Holloway,,Brian Kelleher,Iuri Alcantara,0,4,0,1,Bantamweight,SUB,1,1:48
UFC 212: Aldo vs. Holloway,,Viviane Pereira,Jamie Moyle,0,80,0,0,Women's Strawweight,U-DEC,3,5:00
UFC 212: Aldo vs. Holloway,,Luan Chagas,Jim Wallhead,1,95,0,1,Welterweight,SUB,2,4:48
UFC 212: Aldo vs. Holloway,,Deiveson Figueiredo,Marco Beltran,1,17,2,4,Flyweight,KO/TKO,2,5:00
UFC Fight Night: Lewis vs. Hunt,,,,,,,,,,,
UFC Fight Night: Lewis vs. Hunt,,Mark Hunt,Derrick Lewis,0,59,0,0,Heavyweight,KO/TKO,4,3:51
UFC Fight Night: Lewis vs. Hunt,,Derek Brunson,Daniel Kelly,1,8,0,0,Middleweight,KO/TKO,1,1:16
UFC Fight Night: Lewis vs. Hunt,,Dan Hooker,Ross Pearson,1,69,0,0,Lightweight,KO/TKO,2,3:02
UFC Fight Night: Lewis vs. Hunt,,Ion Cutelaba,Henrique da Silva,1,15,0,0,Light Heavyweight,KO/TKO,1,0:22
UFC Fight Night: Lewis vs. Hunt,,Ben Nguyen,Tim Elliott,0,3,1,1,Flyweight,SUB,1,0:49
UFC Fight Night: Lewis vs. Hunt,,Alexander Volkanovski,Mizuto Hirota,1,87,4,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Hunt,,Vinc Pichel,Damien Brown,1,19,0,0,Lightweight,KO/TKO,1,3:37
UFC Fight Night: Lewis vs. Hunt,,Luke Jumeau,Dominique Steele,0,40,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Hunt,,John Moraga,Ashkan Mokhtarian,0,56,2,4,Flyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Hunt,,Zak Ottow,Kiichi Kunimoto,0,37,2,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Hunt,,JJ Aldrich,Chan-Mi Jeon,0,98,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,,,,,,,,,,
UFC Fight Night: Gustafsson vs. Teixeira,,Alexander Gustafsson,Glover Teixeira,2,97,1,0,Light Heavyweight,KO/TKO,5,1:07
UFC Fight Night: Gustafsson vs. Teixeira,,Volkan Oezdemir,Misha Cirkunov,1,5,0,0,Light Heavyweight,KO/TKO,1,0:28
UFC Fight Night: Gustafsson vs. Teixeira,,Peter Sobotta,Ben Saunders,3,46,0,0,Welterweight,KO/TKO,2,2:29
UFC Fight Night: Gustafsson vs. Teixeira,,Omari Akhmedov,Abdul Razak Alhassan,0,52,6,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Nordine Taleb,Oliver Enkamp,0,57,2,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Jack Hermansson,Alex Nicholson,0,23,1,0,Middleweight,KO/TKO,1,2:00
UFC Fight Night: Gustafsson vs. Teixeira,,Pedro Munhoz,Damian Stasiak,0,65,3,1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Trevor Smith,Chris Camozzi,1,39,4,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Joaquim Silva,Reza Madadi,0,40,0,1,Lightweight,S-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Bojan Velickovic,Nicholas Musoke,1,53,1,0,Welterweight,KO/TKO,3,4:37
UFC Fight Night: Chiesa vs. Lee,,,,,,,,,,,
UFC Fight Night: Chiesa vs. Lee,,Kevin Lee,Michael Chiesa,0,22,1,1,Lightweight,SUB,1,4:37
UFC Fight Night: Chiesa vs. Lee,,Tim Boetsch,Johny Hendricks,0,41,0,0,Middleweight,KO/TKO,2,0:46
UFC Fight Night: Chiesa vs. Lee,,Felice Herrig,Justine Kish,0,47,2,1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Dominick Reyes,Joachim Christensen,1,13,0,0,Light Heavyweight,KO/TKO,1,0:29
UFC Fight Night: Chiesa vs. Lee,,Tim Means,Alex Garcia,0,64,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Dennis Siver,BJ Penn,0,103,0,0,Featherweight,M-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Darren Till,Jessin Ayari,1,31,2,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Gustafsson vs. Teixeira,,Damir Hadzovic,Marcin Held,1,14,0,0,Lightweight,KO/TKO,3,0:07
UFC Fight Night: Chiesa vs. Lee,,Clay Guida,Erik Koch,0,38,2,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Marvin Vettori,Vitor Miranda,0,69,3,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Carla Esparza,Maryna Moroz,0,40,6,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Darrell Horcher,Devin Powell,0,37,0,2,Lightweight,S-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Jared Gordon,Michel Quinones,0,67,4,0,Featherweight,KO/TKO,2,4:24
UFC Fight Night: Chiesa vs. Lee,,Anthony Rocco Martin,Johnny Case,0,82,1,1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Lee,,Jeremy Kimball,Josh Stansbury,1,17,0,0,Light Heavyweight,KO/TKO,1,1:21
UFC Fight Night: Holm vs. Correia,,,,,,,,,,,
UFC Fight Night: Holm vs. Correia,,Holly Holm,Bethe Correia,1,25,0,0,Women's Bantamweight,KO/TKO,3,1:09
UFC Fight Night: Holm vs. Correia,,Marcin Tybura,Andrei Arlovski,0,51,2,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Holm vs. Correia,,Colby Covington,Dong Hyun Kim,0,47,8,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Holm vs. Correia,,Rafael Dos Anjos,Tarec Saffiedine,0,81,1,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Holm vs. Correia,,Jon Tuck,Takanori Gomi,0,7,0,1,Lightweight,SUB,1,1:12
UFC Fight Night: Holm vs. Correia,,Walt Harris,Cyril Asker,1,21,0,0,Heavyweight,KO/TKO,1,1:44
UFC Fight Night: Holm vs. Correia,,Alex Caceres,Rolando Dy,1,51,0,1,Featherweight,KO/TKO,2,5:00
UFC Fight Night: Holm vs. Correia,,Yuta Sasaki,Justin Scoggins,0,21,2,1,Flyweight,SUB,2,3:19
UFC Fight Night: Holm vs. Correia,,Li Jingliang,Frank Camacho,0,94,2,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Holm vs. Correia,,Russell Doane,Kwan Ho Kwak,1,17,0,0,Bantamweight,KO/TKO,1,4:09
UFC Fight Night: Holm vs. Correia,,Naoki Inoue,Carls John De Tomas,0,62,0,5,Flyweight,U-DEC,3,5:00
UFC Fight Night: Holm vs. Correia,,Lucie Pudilova,Ji Yeon Kim,0,53,0,2,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nelson vs. Ponzinibbio,,,,,,,,,,,
UFC Fight Night: Nelson vs. Ponzinibbio,,Santiago Ponzinibbio,Gunnar Nelson,1,7,0,0,Welterweight,KO/TKO,1,1:22
UFC Fight Night: Nelson vs. Ponzinibbio,,Cynthia Calvillo,Joanne Wood,0,54,2,2,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Nelson vs. Ponzinibbio,,Paul Felder,Stevie Ray,1,23,0,0,Lightweight,KO/TKO,1,3:57
UFC Fight Night: Nelson vs. Ponzinibbio,,Jack Marshman,Ryan Janes,0,75,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Nelson vs. Ponzinibbio,,Khalil Rountree Jr.,Paul Craig,1,15,0,0,Light Heavyweight,KO/TKO,1,4:56
UFC Fight Night: Nelson vs. Ponzinibbio,,Justin Willis,James Mulheron,0,52,3,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Nelson vs. Ponzinibbio,,Danny Roberts,Bobby Nash,1,24,0,0,Welterweight,KO/TKO,2,3:59
UFC Fight Night: Nelson vs. Ponzinibbio,,Alexandre Pantoja,Neil Seery,1,119,1,1,Flyweight,SUB,3,2:31
UFC Fight Night: Nelson vs. Ponzinibbio,,Galore Bofando,Charlie Ward,0,10,1,0,Welterweight,KO/TKO,1,2:10
UFC Fight Night: Nelson vs. Ponzinibbio,,Danny Henry,Daniel Teymur,1,93,1,2,Lightweight,U-DEC,3,5:00
UFC Fight Night: Nelson vs. Ponzinibbio,,Brett Johns,Albert Morales,0,56,3,1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nelson vs. Ponzinibbio,,Leslie Smith,Amanda Lemos,0,101,0,0,Women's Bantamweight,KO/TKO,2,2:53
UFC Fight Night: Weidman vs. Gastelum,,,,,,,,,,,
UFC Fight Night: Weidman vs. Gastelum,,Chris Weidman,Kelvin Gastelum,0,36,7,2,Middleweight,SUB,3,3:45
UFC Fight Night: Weidman vs. Gastelum,,Darren Elkins,Dennis Bermudez,0,70,3,2,Featherweight,S-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Patrick Cummins,Gian Villante,0,86,1,0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Jimmie Rivera,Thomas Almeida,2,70,2,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Elizeu Zaleski dos Santos,Lyman Good,0,83,1,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Eryk Anders,Rafael Natal,1,23,1,0,Middleweight,KO/TKO,1,2:54
UFC Fight Night: Weidman vs. Gastelum,,Alex Oliveira,Ryan LaFlare,1,8,0,1,Welterweight,KO/TKO,2,1:50
UFC Fight Night: Weidman vs. Gastelum,,Chase Sherman,Damian Grabowski,0,111,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Jeremy Kennedy,Kyle Bochniak,0,41,8,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Marlon Vera,Brian Kelleher,0,5,0,2,Bantamweight,SUB,1,2:18
UFC 213: Romero vs. Whittaker,,,,,,,,,,,
UFC 213: Romero vs. Whittaker,,Robert Whittaker,Yoel Romero,0,74,0,0,Middleweight,U-DEC,5,5:00
UFC 213: Romero vs. Whittaker,,Alistair Overeem,Fabricio Werdum,0,21,0,0,Heavyweight,M-DEC,3,5:00
UFC 213: Romero vs. Whittaker,,Curtis Blaydes,Daniel Omielanczuk,0,72,0,0,Heavyweight,U-DEC,3,5:00
UFC 213: Romero vs. Whittaker,,Anthony Pettis,Jim Miller,0,80,1,0,Lightweight,U-DEC,3,5:00
UFC 213: Romero vs. Whittaker,,Rob Font,Douglas Silva de Andrade,0,70,2,3,Bantamweight,SUB,2,4:36
UFC 213: Romero vs. Whittaker,,Aleksei Oleinik,Travis Browne,1,53,3,2,Heavyweight,SUB,2,3:44
UFC 213: Romero vs. Whittaker,,Chad Laprise,Brian Camozzi,1,76,1,0,Welterweight,KO/TKO,3,1:27
UFC Fight Night: Weidman vs. Gastelum,,Junior Albini,Timothy Johnson,1,21,0,0,Heavyweight,KO/TKO,1,2:51
UFC Fight Night: Weidman vs. Gastelum,,Shane Burgos,Godofredo Pepey,3,102,1,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Weidman vs. Gastelum,,Chris Wade,Frankie Perez,0,23,3,2,Lightweight,U-DEC,3,5:00
UFC 213: Romero vs. Whittaker,,Thiago Santos,Gerald Meerschaert,0,60,0,0,Middleweight,KO/TKO,2,2:04
UFC 213: Romero vs. Whittaker,,Belal Muhammad,Jordan Mein,0,45,4,0,Welterweight,U-DEC,3,5:00
UFC 213: Romero vs. Whittaker,,Cody Stamann,Terrion Ware,0,94,8,0,Featherweight,U-DEC,3,5:00
UFC 213: Romero vs. Whittaker,,Trevin Giles,James Bochnovic,0,41,5,0,Light Heavyweight,KO/TKO,2,2:54
UFC 214: Cormier vs. Jones 2,,,,,,,,,,,
UFC 214: Cormier vs. Jones 2,,Daniel Cormier,Jon Jones,0,58,0,0,Light Heavyweight,Overturned,3,3:01
UFC 214: Cormier vs. Jones 2,,Tyron Woodley,Demian Maia,1,57,0,0,Welterweight,U-DEC,5,5:00
UFC 214: Cormier vs. Jones 2,,Cristiane Justino,Tonya Evinger,1,74,0,0,Women's Featherweight,KO/TKO,3,1:56
UFC 214: Cormier vs. Jones 2,,Robbie Lawler,Donald Cerrone,0,77,0,0,Welterweight,U-DEC,3,5:00
UFC 214: Cormier vs. Jones 2,,Volkan Oezdemir,Jimi Manuwa,0,12,0,0,Light Heavyweight,KO/TKO,1,0:42
UFC 214: Cormier vs. Jones 2,,Ricardo Lamas,Jason Knight,0,42,1,0,Featherweight,KO/TKO,1,4:34
UFC 214: Cormier vs. Jones 2,,Aljamain Sterling,Renan Barao,0,71,1,0,Catch Weight,U-DEC,3,5:00
UFC 214: Cormier vs. Jones 2,,Brian Ortega,Renato Moicano,0,65,0,1,Featherweight,SUB,3,2:59
UFC 214: Cormier vs. Jones 2,,Calvin Kattar,Andre Fili,0,75,2,0,Featherweight,U-DEC,3,5:00
UFC 214: Cormier vs. Jones 2,,Aleksandra Albu,Kailin Curran,0,82,5,0,Women's Strawweight,U-DEC,3,5:00
UFC 214: Cormier vs. Jones 2,,Jarred Brooks,Eric Shelton,0,27,5,1,Flyweight,S-DEC,3,5:00
UFC 214: Cormier vs. Jones 2,,Drew Dober,Joshua Burkman,1,15,0,0,Lightweight,KO/TKO,1,3:04
The Ultimate Fighter: Redemption Finale,,,,,,,,,,,
The Ultimate Fighter: Redemption Finale,,Justin Gaethje,Michael Johnson,0,104,0,0,Lightweight,KO/TKO,2,4:48
The Ultimate Fighter: Redemption Finale,,Jesse Taylor,Dhiego Lima,0,21,2,2,Welterweight,SUB,2,0:43
The Ultimate Fighter: Redemption Finale,,Drakkar Klose,Marc Diakiese,0,39,3,0,Lightweight,S-DEC,3,5:00
The Ultimate Fighter: Redemption Finale,,Jared Cannonier,Nick Roehrick,0,84,1,0,Light Heavyweight,KO/TKO,3,2:08
The Ultimate Fighter: Redemption Finale,,Brad Tavares,Elias Theodorou,0,31,1,0,Middleweight,U-DEC,3,5:00
The Ultimate Fighter: Redemption Finale,,Jordan Johnson,Marcel Fortuna,0,42,2,0,Light Heavyweight,U-DEC,3,5:00
The Ultimate Fighter: Redemption Finale,,Angela Hill,Ashley Yoder,0,47,1,0,Women's Strawweight,U-DEC,3,5:00
The Ultimate Fighter: Redemption Finale,,James Krause,Tom Gallicchio,0,106,0,0,Welterweight,U-DEC,3,5:00
UFC 215: Nunes vs Shevchenko 2,,,,,,,,,,,
UFC 215: Nunes vs Shevchenko 2,,Amanda Nunes,Valentina Shevchenko,0,86,2,0,Women's Bantamweight,S-DEC,5,5:00
UFC 215: Nunes vs Shevchenko 2,,Rafael Dos Anjos,Neil Magny,0,13,0,1,Welterweight,SUB,1,3:43
UFC 215: Nunes vs Shevchenko 2,,Henry Cejudo,Wilson Reis,1,34,2,0,Flyweight,KO/TKO,2,0:25
UFC 215: Nunes vs Shevchenko 2,,Ilir Latifi,Tyson Pedro,0,44,4,0,Light Heavyweight,U-DEC,3,5:00
UFC 215: Nunes vs Shevchenko 2,,Jeremy Stephens,Gilbert Melendez,5,96,0,0,Featherweight,U-DEC,3,5:00
UFC 215: Nunes vs Shevchenko 2,,Ketlen Vieira,Sara McMann,0,17,1,2,Women's Bantamweight,SUB,2,4:16
UFC 215: Nunes vs Shevchenko 2,,Sarah Moras,Ashlee Evans-Smith,0,3,0,1,Women's Bantamweight,SUB,1,2:51
UFC 215: Nunes vs Shevchenko 2,,Ricky Glenn,Gavin Tucker,1,142,4,1,Featherweight,U-DEC,3,5:00
The Ultimate Fighter: Redemption Finale,,CB Dollaway,Ed Herman,0,54,6,1,Light Heavyweight,U-DEC,3,5:00
The Ultimate Fighter: Redemption Finale,,Tecia Pennington,Juliana Lima,0,15,0,1,Women's Strawweight,SUB,2,0:53
The Ultimate Fighter: Redemption Finale,,Gray Maynard,Teruto Ishihara,0,16,11,2,Featherweight,U-DEC,3,5:00
UFC 215: Nunes vs Shevchenko 2,,Alex White,Mitch Clarke,3,57,0,0,Lightweight,KO/TKO,2,4:36
