SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
0.80,57%,3.40,33%,N/A,9.00,50%,0%,0.0
2.73,29%,4.37,55%,N/A,0.00,0%,37%,0.5
2.69,42%,2.76,57%,N/A,1.09,66%,52%,1.4
2.27,43%,3.77,53%,N/A,2.03,22%,33%,1.1
5.39,69%,3.51,51%,N/A,2.82,50%,66%,0.0
4.19,46%,3.20,58%,N/A,2.04,46%,77%,0.8
3.71,46%,3.90,44%,N/A,2.83,52%,58%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.91,58%,1.35,57%,N/A,5.19,51%,75%,0.0
2.60,47%,3.72,52%,N/A,0.81,25%,77%,1.0
3.16,40%,2.09,66%,N/A,3.16,55%,69%,0.2
1.64,41%,2.17,54%,N/A,1.75,41%,50%,0.3
3.45,35%,3.18,61%,N/A,0.54,22%,70%,0.3
4.23,36%,4.83,63%,N/A,0.00,0%,100%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
5.23,63%,3.51,51%,N/A,0.17,100%,70%,0.3
1.36,100%,0.68,66%,N/A,10.23,100%,0%,10.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.64,44%,1.98,56%,N/A,0.93,50%,50%,1.4
0.00,0%,0.40,50%,N/A,0.00,0%,0%,0.0
1.58,37%,2.02,46%,N/A,1.28,44%,43%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.47,36%,2.84,59%,N/A,0.46,100%,68%,0.0
0.85,44%,2.48,52%,N/A,2.12,40%,33%,4.2
2.07,49%,1.60,46%,N/A,2.28,50%,33%,2.5
0.18,12%,4.03,56%,N/A,2.67,60%,0%,2.7
2.69,45%,2.57,54%,N/A,2.88,55%,38%,0.0
4.08,48%,5.85,40%,N/A,1.85,42%,30%,1.2
2.56,83%,1.03,50%,N/A,0.00,0%,33%,7.7
3.59,39%,3.25,67%,N/A,2.08,30%,88%,0.0
5.79,49%,4.94,63%,N/A,1.82,38%,43%,0.6
0.00,0%,1.33,50%,N/A,0.00,0%,0%,0.0
6.10,43%,4.35,57%,N/A,0.65,80%,59%,0.2
2.70,30%,4.48,58%,N/A,0.25,100%,28%,0.2
5.16,54%,3.70,58%,N/A,1.53,55%,94%,0.8
3.76,44%,2.97,53%,N/A,0.59,66%,65%,0.0
2.32,38%,3.23,47%,N/A,0.37,7%,35%,1.5
0.18,25%,2.39,32%,N/A,0.00,0%,33%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.14,52%,3.29,60%,N/A,0.90,27%,63%,0.7
4.78,47%,3.59,61%,N/A,0.61,14%,65%,0.1
1.25,30%,4.60,38%,N/A,0.00,0%,40%,0.0
2.52,31%,4.75,46%,N/A,1.32,21%,36%,0.6
1.23,36%,3.08,16%,N/A,4.62,100%,0%,0.0
2.76,48%,3.20,56%,N/A,1.19,55%,74%,0.5
2.49,44%,3.01,55%,N/A,2.46,23%,83%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.92,34%,3.20,63%,N/A,3.20,60%,0%,2.1
3.73,50%,3.52,50%,N/A,4.34,52%,33%,0.2
1.92,32%,2.64,66%,N/A,2.91,47%,81%,0.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.69,43%,3.96,47%,N/A,0.71,43%,60%,0.0
