Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Roman Dolidze,Anthony Smith,0,0,100,51,1,0,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Macy Chiasson,Mayra Bueno Silva,0,0,50,46,1,0,0,0,Women's Bantamweight,KO/TKO,2,1:58
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Ian Machado Garry,Michael Page,0,0,19,21,2,0,2,0,Welterweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Joe Pyfer,Marc-Andre Barriault,1,0,8,0,0,0,0,0,Middleweight,KO/TKO,1,1:25
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Andre Fili,Cub Swanson,0,0,67,62,2,0,0,0,Featherweight,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Jean Silva,Charles Jourdain,2,0,34,23,0,3,0,0,Featherweight,KO/TKO,2,1:22
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Payton Talbott,Yanis Ghemmouri,1,0,13,1,0,0,0,0,Bantamweight,KO/TKO,1,0:19
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Gillian Robertson,Michelle Waterson-Gomez,0,0,77,21,2,1,2,0,Women's Strawweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Martin Buday,Andrei Arlovski,0,0,54,74,0,0,0,0,Heavyweight,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Rei Tsuruya,Carlos Hernandez,0,0,17,16,3,1,0,0,Flyweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Vinicius Oliveira,Ricky Simon,0,0,96,42,1,2,0,0,Bantamweight,U-DEC,3,5:00
