First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,6,3,0,
Akira,Shoji,,"5' 8""",195 lbs.,--,Orthodox,14,17,5,
Liudvik,Sholinian,Palmeyros,"5' 10""",135 lbs.,"71.0""",Orthodox,9,4,1,
Jack,Shore,Tank,"5' 8""",145 lbs.,"71.0""",Orthodox,17,2,0,
Landon,Showalter,The Show,"6' 0""",185 lbs.,--,,11,19,1,
Ivan,Shtyrkov,Ural Hulk,"6' 0""",205 lbs.,"74.0""",Orthodox,15,0,1,
Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,7,6,0,
Ronal,Siahaan,Naga Sakti,"5' 7""",125 lbs.,"71.0""",Southpaw,7,1,0,
Sam,Sicilia,,"5' 8""",145 lbs.,"67.0""",Orthodox,15,8,0,
Kiril,Sidelnikov,,"5' 11""",230 lbs.,--,,11,4,0,
Serhiy,Sidey,,"5' 11""",135 lbs.,"72.0""",Switch,10,2,0,
Steven,Siler,Super,"5' 11""",145 lbs.,"70.0""",Orthodox,29,16,0,
Siala,Siliga,Mighty Mo,"6' 1""",290 lbs.,--,Orthodox,12,5,0,
Xavier,Siller,Young Guns,"5' 5""",125 lbs.,--,,5,5,0,
Assuerio,Silva,,"5' 10""",241 lbs.,--,Orthodox,16,8,0,
Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,0,
Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,1,
Thiago,Silva,,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,0,
Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,--,Orthodox,2,6,0,
Jean,Silva,White Bear,"5' 6""",160 lbs.,--,Orthodox,19,12,3,
Edson,Silva,Paredao,--,205 lbs.,--,Orthodox,14,12,0,
Sidney,Silva,,"6' 3""",170 lbs.,--,Southpaw,8,4,0,
Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,10,11,1,
Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,1,
Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,1,8,0,
Erick,Silva,,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,0,
Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,1,
Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,14,4,0,
Wagner,Silva,Wagnao,"6' 0""",170 lbs.,--,Orthodox,6,3,0,
Rafael,Silva,Morcego,"5' 7""",135 lbs.,--,,28,6,0,
