,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
193,Brian Stann,160.0,Krzysztof Soszynski,-195.0,UFC 97: Redemption,Apr 18th 2009
194,Cheick Kongo,-315.0,Antoni Hardonk,245.0,UFC 97: Redemption,Apr 18th 2009
195,Chuck Liddell,-240.0,Mauricio Rua,180.0,UFC 97: Redemption,Apr 18th 2009
196,David Bielkheden,220.0,Mark Bocek,-280.0,UFC 97: Redemption,Apr 18th 2009
197,Denis Kang,-325.0,Xavier Foupa-Pokam,250.0,UFC 97: Redemption,Apr 18th 2009
198,Ed Herman,105.0,David Loiseau,-135.0,UFC 97: Redemption,Apr 18th 2009
199,Eliot Marshall,-120.0,Vinny Magalhaes,-110.0,UFC 97: Redemption,Apr 18th 2009
200,Matt Wiman,135.0,Sam Stout,-165.0,UFC 97: Redemption,Apr 18th 2009
201,Nate Quarry,-130.0,Jason Macdonald,100.0,UFC 97: Redemption,Apr 18th 2009
202,Ryo Chonan,-215.0,TJ Grant,170.0,UFC 97: Redemption,Apr 18th 2009
203,Steve Cantwell,190.0,Luis Cane,-250.0,UFC 97: Redemption,Apr 18th 2009
204,Aljamain Sterling,-210.0,Takeya Mizugaki,160.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
205,Beneil Dariush,-140.0,Jim Miller,100.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
206,Chris Camozzi,550.0,Ronaldo Souza,-1050.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
207,Chris Dempsey,260.0,Eddie Gordon,-380.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
208,Corey Anderson,-230.0,Gian Villante,170.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
209,Cub Swanson,-190.0,Max Holloway,150.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
210,Diego Brandao,-170.0,Jimy Hettes,130.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
211,George Sullivan,115.0,Tim Means,-155.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
212,Luke Rockhold,-140.0,Lyoto Machida,100.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
213,Patrick Cummins,-140.0,Ovince St Preux,100.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
214,Alan Belcher,-410.0,Jason Day,315.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
215,Brad Morris,190.0,Cain Velasquez,-250.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
216,Demian Maia,-195.0,Ed Herman,160.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
217,Joe Doerksen,135.0,Jason Macdonald,-165.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
218,Jonathan Goulet,180.0,Kuniyoshi Hironaka,-240.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
219,Kalib Starnes,400.0,Nate Quarry,-550.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
220,Mark Bocek,470.0,Mac Danzig,-725.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
221,Michael Bisping,-330.0,Charles McCarthy,253.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
222,Rich Clementi,130.0,Sam Stout,-160.0,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
223,Brad Tavares,100.0,Yoel Romero,-140.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
224,Caio Magalhaes,-280.0,Luke Zachrich,200.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
225,Chas Skelly,-175.0,Mirsad Bektic,135.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
226,Derrick Lewis,-315.0,Jack May,235.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
227,Donald Cerrone,-140.0,Edson Barboza,100.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
228,Dustin Ortiz,-215.0,Ray Borg,165.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
229,Estevan Payan,-165.0,Alex White,125.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
230,Fabricio Werdum,160.0,Travis Browne,-210.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
231,Hernani Perpetuo,265.0,Jordan Mein,-385.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
232,Jorge Masvidal,-190.0,Pat Healy,150.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
233,Khabib Nurmagomedov,-175.0,Rafael Dos Anjos,135.0,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
