,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
5309,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Dominique Steele,Zak Cummings,250.0,-350.0
5311,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Edson Barboza,Paul Felder,-175.0,135.0
5312,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Elizabeth Phillips,Jessamyn Duke,-115.0,-125.0
5313,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Gian Villante,Tom Lawlor,-170.0,130.0
5316,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Jessica Eye,Miesha Tate,160.0,-210.0
5318,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Joe Lauzon,Takanori Gomi,-260.0,180.0
5322,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Ramsey Nijem,Andrew Holbrook,-180.0,140.0
5323,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Renan Barao,T.J. Dillashaw,165.0,-215.0
5327,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Alex Oliveira,Peter Sobotta,-170.0,145.0
5328,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Alexander Gustafsson,Fabricio Werdum,-240.0,205.0
5329,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Bethe Correia,Pannie Kianzad,-105.0,-115.0
5330,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Carla Esparza,Marina Rodriguez,120.0,-140.0
5331,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Darren Till,Robert Whittaker,115.0,-135.0
5333,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Francisco Trinaldo,Jai Herbert,-180.0,140.0
5334,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Gadzhimurad Antigulov,Paul Craig,-125.0,105.0
5336,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Jake Collier,Tom Aspinall,145.0,-170.0
5337,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Jesse Ronson,Nicolas Dalby,375.0,-500.0
5338,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,John Castaneda,Nathaniel Wood,255.0,-365.0
