,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
9537,UFC Fight Night 122: Bisping vs. Gastelum,Nov 2017,Rolando Dy,Wuliji Buren,-170.0,130.0
9539,UFC Fight Night 122: Bisping vs. Gastelum,Nov 2017,Sheymon Moraes,Zabit Magomedsharipov,285.0,-405.0
9541,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Andrew Holbrook,Jake Matthews,250.0,-350.0
9542,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Ben Nguyen,Geane Herrera,-140.0,100.0
9543,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Chris Camozzi,Daniel Kelly,-280.0,200.0
9544,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Damien Brown,Jon Tuck,145.0,-185.0
9545,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Dan Hooker,Jason Knight,-170.0,130.0
9547,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Danielle Taylor,Seo Hee Ham,115.0,-155.0
9548,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Derek Brunson,Robert Whittaker,-155.0,115.0
9552,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Jenel Lausa,Yao Zhikui,-175.0,135.0
9554,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Jonathan Meunier,Richard Walsh,-120.0,-120.0
9555,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Kyle Noke,Omari Akhmedov,-120.0,-120.0
9556,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Marlon Vera,Ning Guangyou,-125.0,-115.0
9560,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Tyson Pedro,Khalil Rountree,-105.0,-135.0
9562,UFC Fight Night 101: Whittaker vs. Brunson,Nov 2016,Yusuke Kasuya,Alex Volkanovski,150.0,-190.0
9563,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Alberto Mina,Yoshihiro Akiyama,160.0,-210.0
9564,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Benson Henderson,Jorge Masvidal,-210.0,160.0
9565,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Cortney Casey,Seo Hee Ham,-155.0,115.0
9566,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Dominic Waters,Dong Hyun Kim,325.0,-475.0
9567,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Dominique Steele,Dong Hyun Ma,-185.0,145.0
9570,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Dongi Yang,Jake Collier,-125.0,-115.0
9571,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Fredy Serrano,Yao Zhikui,-270.0,190.0
9574,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Leo Kuntz,Tae Hyun Bang,140.0,-180.0
9575,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Sam Sicilia,Doo Ho Choi,160.0,-210.0
9579,UFC Fight Night 79: Henderson vs. Masvidal,Nov 2015,Yui Chul Nam,Mike de La Torre,-155.0,115.0
9580,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Anderson Dos Santos,Martin Day,135.0,-155.0
9581,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Anthony Smith,Devin Clark,-155.0,135.0
9582,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Bill Algeo,Spike Carlyle,130.0,-150.0
9584,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Gina Mazany,Rachael Ostovich,-120.0,100.0
9585,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Jonathan Pearce,Kai Kamaka III,170.0,-200.0
9586,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Josh Parisian,Parker Porter,-155.0,135.0
9587,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Luke Sanders,Nate Maness,140.0,-180.0
9588,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Malcolm Gordon,Su Mudaerji,150.0,-175.0
9589,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Miguel Baeza,Takashi Sato,-190.0,165.0
9591,UFC on ESPN 18: Smith vs. Clark,Nov 2020,Norma Dumont,Ashlee Evans-Smith,110.0,-130.0
9596,UFC 244: Masvidal vs. Diaz,Nov 2019,Andrei Arlovski,Jairzinho Rozenstruik,130.0,-170.0
9597,UFC 244: Masvidal vs. Diaz,Nov 2019,Blagoy Ivanov,Derrick Lewis,130.0,-170.0
9598,UFC 244: Masvidal vs. Diaz,Nov 2019,Brad Tavares,Edmen Shahbazyan,175.0,-245.0
9599,UFC 244: Masvidal vs. Diaz,Nov 2019,Chance Rencountre,Lyman Good,-120.0,-120.0
9600,UFC 244: Masvidal vs. Diaz,Nov 2019,Corey Anderson,Johnny Walker,155.0,-195.0
9601,UFC 244: Masvidal vs. Diaz,Nov 2019,Darren Till,Kelvin Gastelum,115.0,-155.0
9604,UFC 244: Masvidal vs. Diaz,Nov 2019,Gregor Gillespie,Kevin Lee,-130.0,-110.0
9606,UFC 244: Masvidal vs. Diaz,Nov 2019,Jennifer Maia,Katlyn Chookagian,100.0,-140.0
9608,UFC 244: Masvidal vs. Diaz,Nov 2019,Jorge Masvidal,Nate Diaz,-110.0,-110.0
9609,UFC 244: Masvidal vs. Diaz,Nov 2019,Julio Arce,Hakeem Dawodu,125.0,-165.0
9613,UFC 244: Masvidal vs. Diaz,Nov 2019,Makwan Amirkhani,Shane Burgos,145.0,-185.0
9614,UFC 244: Masvidal vs. Diaz,Nov 2019,Stephen Thompson,Vicente Luque,-135.0,-105.0
9615,UFC Fight Night,Nov 2024,Alexandr Romanov,Rodrigo Nascimento,105.0,-138.0
9616,UFC Fight Night,Nov 2024,Derrick Lewis,Jhonata Diniz,130.0,-175.0
9618,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Akira Corassani,Maximo Blanco,190.0,-270.0
9619,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Chris Holdsworth,Davey Grant,-265.0,185.0
9620,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Drew Dober,Sean Spencer,185.0,-265.0
9621,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Gray Maynard,Nate Diaz,100.0,-140.0
9622,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Jared Rosholt,Walter Harris,-230.0,170.0
9623,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Jessamyn Duke,Peggy Morgan,-215.0,165.0
9625,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Rani Yahya,Tom Niinimaki,-170.0,130.0
9626,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Raquel Pennington,Roxanne Modafferi,-230.0,170.0
9627,UFC: The Ultimate Fighter 18 Finale,Nov 2013,Ryan Benoit,Joshua Sampo,-115.0,-125.0
9630,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Alex Perez,Joseph Benavidez,155.0,-195.0
9631,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Antonina Shevchenko,Ji Yeon Kim,-385.0,265.0
9632,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Bryan Caraway,Pedro Munhoz,-275.0,195.0
9633,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Chris Gutierrez,Raoni Barcelos,175.0,-245.0
9634,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Darrell Horcher,Roosevelt Roberts,145.0,-185.0
9635,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Darren Stewart,Edmen Shahbazyan,-110.0,-130.0
9638,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Juan Espino,Justin Frazier,130.0,-170.0
9639,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Kamaru Usman,Rafael Dos Anjos,-215.0,165.0
9640,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Kevin Aguilar,Rick Glenn,-165.0,125.0
9641,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Leah Letson,Julia Stoliarenko,-245.0,175.0
9642,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Macy Chiasson,Pannie Kianzad,165.0,-215.0
9643,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Maurice Greene,Michel Batista,-185.0,145.0
9648,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 2018,Ricky Rainey,Tim Means,145.0,-185.0
9651,UFC 230: Cormier vs. Lewis,Nov 2018,Adam Wieczorek,Marcos Rogerio,-400.0,300.0
9652,UFC 230: Cormier vs. Lewis,Nov 2018,Ben Saunders,Lyman Good,250.0,-350.0
9653,UFC 230: Cormier vs. Lewis,Nov 2018,Chris Weidman,Ronaldo Souza,-125.0,-105.0
9654,UFC 230: Cormier vs. Lewis,Nov 2018,Daniel Cormier,Derrick Lewis,-800.0,575.0
9655,UFC 230: Cormier vs. Lewis,Nov 2018,David Branch,Jared Cannonier,-300.0,220.0
9656,UFC 230: Cormier vs. Lewis,Nov 2018,Derek Brunson,Israel Adesanya,180.0,-260.0
9659,UFC 230: Cormier vs. Lewis,Nov 2018,Jack Marshman,Karl Roberson,-185.0,145.0
9661,UFC 230: Cormier vs. Lewis,Nov 2018,Jason Knight,Jordan Rinaldi,-230.0,170.0
9662,UFC 230: Cormier vs. Lewis,Nov 2018,Julio Arce,Sheymon Moraes,-165.0,125.0
9664,UFC 230: Cormier vs. Lewis,Nov 2018,Kurt Holobaugh,Shane Burgos,220.0,-300.0
9665,UFC 230: Cormier vs. Lewis,Nov 2018,Lando Vannata,Matt Frevola,-285.0,205.0
9668,UFC 230: Cormier vs. Lewis,Nov 2018,Roxanne Modafferi,Sijara Eubanks,260.0,-380.0
9672,UFC Fight Night,Nov 2024,Erin Blanchfield,Rose Namajunas,-120.0,-110.0
9673,UFC 217: Bisping vs. St-Pierre,Nov 2017,Aiemann Zahabi,Ricardo Ramos,-110.0,-130.0
9674,UFC 217: Bisping vs. St-Pierre,Nov 2017,Aleksei Oleinik,Curtis Blaydes,220.0,-300.0
9675,UFC 217: Bisping vs. St-Pierre,Nov 2017,Corey Anderson,Ovince St. Preux,125.0,-165.0
9677,UFC 217: Bisping vs. St-Pierre,Nov 2017,James Vick,Joseph Duffy,145.0,-185.0
9678,UFC 217: Bisping vs. St-Pierre,Nov 2017,Joanna Jedrzejczyk,Rose Namajunas,-450.0,350.0
9679,UFC 217: Bisping vs. St-Pierre,Nov 2017,Johny Hendricks,Paulo Costa,115.0,-135.0
9680,UFC 217: Bisping vs. St-Pierre,Nov 2017,Jorge Masvidal,Stephen Thompson,120.0,-160.0
9681,UFC 217: Bisping vs. St-Pierre,Nov 2017,Mark Godbeer,Walt Harris,235.0,-315.0
9682,UFC 217: Bisping vs. St-Pierre,Nov 2017,Michael Bisping,Georges St-Pierre,130.0,-160.0
9684,UFC 217: Bisping vs. St-Pierre,Nov 2017,Randy Brown,Mickey Gall,-170.0,130.0
9689,UFC,Nov 2023,Angela Hill,Denise Gomes,110.0,-150.0
9690,UFC,Nov 2023,Curtis Blaydes,Jailton Almeida,163.0,-188.0
9692,UFC,Nov 2023,Eduarda Moura,Montserrat Ruiz,-400.0,275.0
9694,UFC,Nov 2023,Kaue Fernandes,Marc Diakiese,130.0,-175.0
9695,UFC,Nov 2023,Modestas Bukauskas,Vitor Petrino,200.0,-275.0
9696,UFC 138: Leben vs. Munoz,Nov 2011,Anthony Perosh,Cyrille Diabate,260.0,-380.0
9697,UFC 138: Leben vs. Munoz,Nov 2011,Brad Pickett,Renan Barao,105.0,-135.0
9698,UFC 138: Leben vs. Munoz,Nov 2011,Che Mills,Chris Cope,-230.0,170.0
9699,UFC 138: Leben vs. Munoz,Nov 2011,Chris Leben,Mark Munoz,175.0,-225.0
9701,UFC 138: Leben vs. Munoz,Nov 2011,Edward Faaloloto,Terry Etim,425.0,-610.0
9702,UFC 138: Leben vs. Munoz,Nov 2011,Jason Young,Michihiro Omigawa,240.0,-320.0
9703,UFC 138: Leben vs. Munoz,Nov 2011,John Maguire,Justin Edwards,-110.0,-130.0
9707,UFC 138: Leben vs. Munoz,Nov 2011,Rob Broughton,Phil de Fries,-105.0,-135.0
9709,UFC 138: Leben vs. Munoz,Nov 2011,Thiago Alves,Papy Abedi,-360.0,270.0
9710,UFC 138: Leben vs. Munoz,Nov 2011,Vaughan Lee,Chris Cariaso,160.0,-210.0
9711,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Alex Nicholson,Sam Alvey,235.0,-315.0
9712,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Alexa Grasso,Heather Jo Clark,-405.0,285.0
9713,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Beneil Dariush,Rashid Magomedov,130.0,-170.0
9714,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Charles Oliveira,Ricardo Lamas,-115.0,-125.0
9715,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Chris Avila,Enrique Barzola,260.0,-380.0
9716,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Claudio Puelles,Martin Bravo,135.0,-175.0
9717,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Diego Sanchez,Marcin Held,165.0,-215.0
9718,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Douglas Silva de Andrade,Henry Briones,-210.0,160.0
9720,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Erick Montano,Max Griffin,140.0,-180.0
9721,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Erik Perez,Felipe Arantes,-215.0,165.0
9723,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Jason Novelli,Marco Polo Reyes,-110.0,-130.0
9724,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Joe Soto,Marco Beltran,-125.0,-115.0
9726,UFC Fight Night 98: Dos Anjos vs. Ferguson,Nov 2016,Rafael Dos Anjos,Tony Ferguson,-120.0,-120.0
9731,UFC Fight Night 214ting Championship,Nov 2022,Amanda Lemos,Marina Rodriguez,130.0,-161.0
9732,UFC Fight Night 214ting Championship,Nov 2022,Benito Lopez,Mario Bautista,220.0,-260.0
9733,UFC Fight Night 214ting Championship,Nov 2022,Carlos Candelario,Jake Hadley,210.0,-250.0
9734,UFC Fight Night 214ting Championship,Nov 2022,Chase Sherman,Josh Parisian,-111.0,-111.0
9735,UFC Fight Night 214ting Championship,Nov 2022,Daniel Rodriguez,Neil Magny,105.0,-125.0
9736,UFC Fight Night 214ting Championship,Nov 2022,Darrick Minner,Shayilan Nuerdanbieke,170.0,-200.0
9737,UFC Fight Night 214ting Championship,Nov 2022,Grant Dawson,Mark O. Madsen,-150.0,130.0
9738,UFC Fight Night 214ting Championship,Nov 2022,Jinh Yu Frey,Polyana Viana,120.0,-140.0
9740,UFC Fight Night 214ting Championship,Nov 2022,Liudvik Sholinian,Johnny Munoz Jr.,170.0,-200.0
9743,UFC Fight Night 214ting Championship,Nov 2022,Miranda Maverick,Shanna Young,-300.0,250.0
9744,UFC Fight Night 214ting Championship,Nov 2022,Nate Maness,Tagir Ulanbekov,155.0,-180.0
9747,UFC Fight Night 214ting Championship,Nov 2022,Ramona Pascual,Tamires Vidal,200.0,-235.0
9752,UFC,Nov 2023,Armen Petrosyan,Rodolfo Vieira,-120.0,-110.0
9753,UFC,Nov 2023,Caio Borralho,Abus Magomedov,-360.0,285.0
9754,UFC,Nov 2023,Derrick Lewis,Jailton Almeida,350.0,-500.0
9755,UFC,Nov 2023,Elves Brener,Esteban Ribovics,-135.0,110.0
9756,UFC,Nov 2023,Gabriel Bonfim,Nicolas Dalby,-350.0,240.0
9758,UFC,Nov 2023,Kaynan Kruschewsky,Elves Brener,163.0,-200.0
9760,UFC,Nov 2023,Rinat Fakhretdinov,Elizeu Zaleski Dos Santos,-275.0,200.0
9762,UFC,Nov 2023,Rodrigo Nascimento,Don'tale Mayes,-225.0,163.0
9763,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Alexis Davis,Liz Carmouche,135.0,-175.0
9764,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Amanda Nunes,Germaine de Randamie,100.0,-140.0
9765,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Brian Houston,Derek Brunson,170.0,-230.0
9766,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Chris Camozzi,Lorenz Larkin,220.0,-300.0
9767,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Colton Smith,Michael Chiesa,180.0,-260.0
9768,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Dennis Bermudez,Steven Siler,-215.0,165.0
9770,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Francisco Rivera,George Roop,-130.0,-110.0
9772,UFC Fight Night 31: Fight For The Troops III,Nov 2013,James Krause,Bobby Green,100.0,-140.0
9773,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Jorge Masvidal,Rustam Khabilov,150.0,-190.0
9777,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Neil Magny,Seth Baczynski,-125.0,-115.0
9778,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Rafael Natal,Tim Kennedy,230.0,-310.0
9779,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Ronny Markes,Yoel Romero,-125.0,-115.0
9784,UFC Fight Night 31: Fight For The Troops III,Nov 2013,Yancy Medeiros,Yves Edwards,-180.0,140.0
9787,UFC 268: Usman vs. Covington 2,Nov 2021,Al Iaquinta,Bobby Green,110.0,-130.0
9788,UFC 268: Usman vs. Covington 2,Nov 2021,Alex Pereira,Andreas Michailidis,-150.0,130.0
9789,UFC 268: Usman vs. Covington 2,Nov 2021,Billy Quarantillo,Shane Burgos,145.0,-170.0
9790,UFC 268: Usman vs. Covington 2,Nov 2021,Bruno Souza,Melsik Baghdasaryan,160.0,-185.0
9791,UFC 268: Usman vs. Covington 2,Nov 2021,Chris Barnett,Gian Villante,130.0,-150.0
9792,UFC 268: Usman vs. Covington 2,Nov 2021,Chris Curtis,Phillip Hawes,275.0,-350.0
9793,UFC 268: Usman vs. Covington 2,Nov 2021,Colby Covington,Kamaru Usman,190.0,-225.0
9794,UFC 268: Usman vs. Covington 2,Nov 2021,Dustin Jacoby,John Allan,-250.0,210.0
9795,UFC 268: Usman vs. Covington 2,Nov 2021,Edmen Shahbazyan,Nassourdine Imavov,-150.0,130.0
9796,UFC 268: Usman vs. Covington 2,Nov 2021,Frankie Edgar,Marlon Vera,170.0,-200.0
9798,UFC 268: Usman vs. Covington 2,Nov 2021,Gian Villante,Todd Duffee,,
9800,UFC 268: Usman vs. Covington 2,Nov 2021,Jordan Williams,Ian Garry,235.0,-290.0
9804,UFC 268: Usman vs. Covington 2,Nov 2021,Melsik Baghdasaryan,Tj Laramie,-275.0,210.0
9805,UFC 268: Usman vs. Covington 2,Nov 2021,Michael Chandler,Justin Gaethje,120.0,-140.0
9807,UFC 268: Usman vs. Covington 2,Nov 2021,Rose Namajunas,Zhang Weili,-110.0,-110.0
9810,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Al Iaquinta,Ross Pearson,-105.0,-135.0
9811,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Anthony Perosh,Guto Inocente,145.0,-185.0
9812,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Chris Clements,Vik Grujic,-125.0,-115.0
9813,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Clint Hester,Robert Whittaker,-150.0,110.0
9814,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Dylan Andrews,Sam Alvey,-130.0,-110.0
9816,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Jake Matthews,Vagner Rocha,-385.0,265.0
9817,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Jumabieke Tuerxun,Marcus Brimage,260.0,-380.0
9818,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Louis Smolka,Richie Vaculik,-315.0,235.0
9819,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Luke Rockhold,Michael Bisping,-530.0,350.0
9820,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Luke Zachrich,Daniel Kelly,-215.0,165.0
9827,UFC Fight Night 55: Rockhold vs. Bisping,Nov 2014,Soa Palelei,Walt Harris,-165.0,125.0
9831,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Abel Trujillo,Gleison Tibau,-110.0,-130.0
9832,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Alex Oliveira,Piotr Hallmann,-315.0,235.0
9833,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Anthony Birchak,Thomas Almeida,325.0,-475.0
9834,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Chas Skelly,Kevin Souza,-270.0,190.0
9835,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Clay Guida,Thiago Tavares,-175.0,135.0
9836,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Corey Anderson,Fabio Maldonado,-385.0,265.0
9837,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Gasan Umalatov,Viscardi Andrade,-135.0,-105.0
9838,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Gilbert Burns,Rashid Magomedov,-105.0,-135.0
9840,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Glover Teixeira,Patrick Cummins,-315.0,235.0
9841,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Jimmie Rivera,Pedro Munhoz,160.0,-210.0
9842,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Johnny Case,Yan Cabral,-150.0,110.0
9843,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Matheus Nicolau,Bruno Korea,-185.0,145.0
9850,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 2015,Vitor Belfort,Dan Henderson,-290.0,210.0
9852,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Andrei Arlovski,Tanner Boser,220.0,-260.0
9853,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Anthony Birchak,Gustavo Lopez,-155.0,125.0
9854,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Bevon Lewis,Trevin Giles,-105.0,-115.0
9855,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Brendan Allen,Ian Heinisch,-110.0,-110.0
9856,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Darren Elkins,Eduardo Garagorri,-225.0,190.0
9857,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Giga Chikadze,Jamey Simmons,-485.0,350.0
9858,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Glover Teixeira,Thiago Santos,185.0,-220.0
9860,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Khalid Taha,Raoni Barcelos,250.0,-325.0
9861,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Max Griffin,Ramiz Brahimaj,-195.0,160.0
9866,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 2020,Yan Xiaonan,Claudia Gadelha,110.0,-130.0
9867,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Alan Jouban,Warlley Alves,170.0,-230.0
9868,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Caio Magalhaes,Trevor Smith,-175.0,135.0
9869,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Charlie Brenneman,Leandro Silva,-105.0,-135.0
9870,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Colby Covington,Wagner Silva,-750.0,450.0
9871,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Dhiego Lima,Jorge Oliveira,-300.0,220.0
9873,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Leon Edwards,Claudio Henrique da Silva,-140.0,100.0
9874,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Mauricio Rua,Ovince St. Preux,-140.0,120.0
9875,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Nina Nunes,Juliana Lima,-150.0,110.0
9876,UFC Fight Night 56: Shogun vs. St. Preux,Nov 2014,Thomas Almeida,Tim Gorman,-350.0,250.0
9880,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Adriano Martins,Daron Cruickshank,-160.0,120.0
9881,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Brandon Thatch,Paulo Thiago,-230.0,170.0
9882,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Cezar Ferreira,Daniel Sarafian,-125.0,-115.0
9884,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Dustin Ortiz,Jose Tome,-115.0,-125.0
9885,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Igor Pokrajac,Rafael Cavalcante,180.0,-260.0
9886,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Jeremy Stephens,Rony Jason,115.0,-155.0
9887,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Justin Salas,Thiago Tavares,160.0,-210.0
9891,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Sam Sicilia,Godofredo Pepey,-190.0,150.0
9893,UFC Fight Night 32: Belfort vs. Henderson,Nov 2013,Vitor Belfort,Dan Henderson,-215.0,165.0
9894,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Abubakar Nurmagomedov,David Zawada,-245.0,175.0
9895,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Alexander Volkov,Greg Hardy,-175.0,150.0
9896,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Alexander Yakovlev,Roosevelt Roberts,125.0,-165.0
9897,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Anthony Rocco Martin,Ramazan Emeev,-105.0,-135.0
9898,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Calvin Kattar,Zabit Magomedsharipov,190.0,-270.0
9899,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Dalcha Lungiambula,Magomed Ankalaev,135.0,-175.0
9900,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Danny Roberts,Zelim Imadaev,185.0,-265.0
9901,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Davey Grant,Grigorii Popov,170.0,-230.0
9903,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Ed Herman,Khadis Ibragimov,135.0,-175.0
9905,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Karl Roberson,Roman Kopylov,150.0,-190.0
9907,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Klidson Abreu,Shamil Gamzatov,190.0,-270.0
9909,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Pannie Kianzad,Jessica-Rose Clark,140.0,-180.0
9913,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 2019,Rustam Khabilov,Sergey Khandozhko,-210.0,160.0
9916,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 2020,Alan Baudot,Tom Aspinall,250.0,-350.0
9917,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 2020,Ben Rothwell,Marcin Tybura,-105.0,-115.0
9918,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 2020,Chris Daukaus,Rodrigo Nascimento,260.0,-310.0
