,Winner,Ht Diff,Reach Diff,Career W Diff,Career L Diff,W Diff,L Diff,Num Fights Diff,W Perc Diff,Sig Strikes Avg Diff,Sig Str % Diff,Sig Strikes Opp Avg Diff,Sig Str % Opp Diff,Strikes Avg Diff,Str % Diff,Strikes Opp Avg Diff,Str % Opp Diff,TD Avg Diff,TD % Diff,TD Opp Avg Diff,TD % Opp Diff,KD Avg Diff,KD Opp Avg Diff,DEC Avg Diff,KO Avg Diff,SUB Avg Diff,DEC Opp Avg Diff,KO Opp Avg Diff,SUB Opp Avg Diff,CTRL Avg Diff,CTRL Opp Avg Diff,Time Avg Diff,Streak Diff,Age Diff,Career Fights Diff,Career W Perc Diff,Stance Diff
3011,1,0,3,-5,0,-4,-1,-5,1,-42.2892156862745,-5.478380014415123,-33.26470588235294,-3.6314194378710525,-73.06372549019608,-13.312774418586876,-28.627450980392158,15.925993107201162,-1.1764705882352942,-33.33333333333333,0.2450980392156863,-1.1494252873563298,-0.1029411764705882,0.014705882352941207,-0.2941176470588235,0.22058823529411764,0.0833333333333333,0.10784313725490191,-0.1176470588235294,0.0,-170.10294117647058,67.3872549019608,-352.80392156862746,2,-4,-5.0,-3.6231884057970944,0
3012,1,-3,2,0,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,-1.0,6.593406593406598,0
3013,0,0,5,9,1,1,1,2,50,17.0,17.258883248730964,27.0,18.88111888111888,35.0,27.131782945736436,67.0,35.82887700534759,0.0,0.0,2.5,71.42857142857143,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,89.5,217.5,651.5,-1,-4,10.0,6.666666666666671,-1
3014,1,4,0,6,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,8.0,6.666666666666664,-1
3015,1,-4,-7,2,0,0,1,1,-50,22.5,-1.999316473000686,24.5,27.84090909090909,26.5,6.396925858951175,30.5,20.74829931972789,1.0,28.57142857142857,1.5,42.85714285714285,-2.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.5,38.5,95.5,508.5,0,5,2.0,2.898550724637687,0
3016,1,-6,-10,-6,-7,-1,-1,-2,-33,9.333333333333332,21.835859307978268,-33.0,-4.188961195468792,24.66666666666667,9.606631310811373,10.666666666666671,10.160114814428773,0.33333333333333337,-13.333333333333329,2.0,-4.166666666666671,-0.6666666666666666,0.0,0.0,-0.3333333333333333,0.0,-0.6666666666666666,0.0,1.0,165.0,46.333333333333314,73.33333333333337,1,0,-13.0,19.13043478260869,1
3017,1,0,-3,-12,-1,0,0,0,0,-46.400000000000006,0.10727288778078758,-28.200000000000003,1.6543816543816554,-69.6,-2.569839240540759,-50.00000000000001,-2.552243504370775,-3.4,9.183673469387763,-1.2,8.333333333333329,0.39999999999999997,0.6,-0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,-223.2,-47.0,-758.4000000000001,0,-6,-13.0,4.347826086956516,0
3018,0,4,4,7,0,-4,-1,-5,2,26.606060606060602,-4.391638687923859,22.25757575757575,0.3590439624041153,28.560606060606048,-7.871897623374,28.393939393939398,-2.0765242862085422,2.590909090909091,15.232397606994937,0.16666666666666674,-20.74074074074074,0.1363636363636364,-0.0909090909090909,0.12121212121212122,-0.1060606060606061,0.0,0.0757575757575757,-0.0909090909090909,0.0,94.43939393939391,-44.59090909090909,504.0757575757576,-6,2,7.0,3.431372549019599,0
3019,0,-1,0,-6,-1,0,-1,-1,12,-4.238095238095234,6.960509794770932,-3.9285714285714306,10.170343764289516,-9.333333333333329,2.9692098163217686,-16.761904761904773,3.3147372884538875,0.6666666666666665,14.320685434516527,-0.1428571428571428,34.54545454545454,-0.4285714285714285,-0.1428571428571428,0.09523809523809523,-0.1428571428571428,0.1666666666666666,0.023809523809523808,-0.1428571428571428,0.0,7.119047619047592,94.02380952380952,-385.0714285714289,5,-6,-7.0,0.8888888888888857,1
3020,0,-2,-3,-4,3,3,4,7,-15,-7.916666666666664,2.888473171225627,8.36666666666666,5.3097692135334995,-22.424999999999997,0.19900154792488323,-5.316666666666663,1.7198500430539454,-2.341666666666667,-11.31907308377897,-0.4666666666666667,-0.865800865800864,-0.10833333333333339,-0.058333333333333404,-0.425,0.07500000000000001,0.2,0.275,-0.125,0.0,-131.83333333333334,-18.241666666666667,-458.775,-2,-1,-1.0,-12.461538461538453,0
3021,1,0,2,-3,4,6,4,10,-9,-13.929824561403514,9.070430865554655,-9.964912280701746,6.569034343303191,-20.233918128654963,7.21431204901771,-8.187134502923982,9.514777764180884,-1.6081871345029242,4.802076573653473,-0.4736842105263158,11.764705882352942,-0.2865497076023392,0.2046783625730994,-0.5087719298245614,0.2046783625730994,0.2105263157894736,0.2046783625730994,-0.1111111111111111,0.0,-31.719298245614013,106.59064327485382,-391.60818713450305,1,-7,1.0,-13.888888888888886,2
